Country,Ratification,treaty,Entry,Signature,Note,Territorial Application,Declarations,Reservations,Communication,Authorities,Denunciation,Effect denunciation,Objection
Germany,13/7/2011,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,,,,,,,,,
Greece,,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,13,,,X,,,,,
Hungary,,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,13,,,,,,,,
Iceland,,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,13,,,,,,,,
Ireland,,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,13,,,,,,,,
Italy,,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,13,,,,,,,,
Latvia,8/2/2005,Protocol amending the European Convention on the Suppression of Terrorism,,5/5/2004,,,,,,,,,
Liechtenstein,8/2/2005,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,,,,,,,,,
Lithuania,15/9/2005,Protocol amending the European Convention on the Suppression of Terrorism,,15/11/2004,,,,,,,,,
Luxembourg,1/2/2005,Protocol amending the European Convention on the Suppression of Terrorism,,11/6/2003,,,,,,,,,
Malta,,Protocol amending the European Convention on the Suppression of Terrorism,,15/12/2004,13,,,,,,,,
Moldova,10/3/2005,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,,,X,,,X,,,
Monaco,,Protocol amending the European Convention on the Suppression of Terrorism,,,13,,,,,,,,
Montenegro,28/4/2010,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,,,,,,,,,
Netherlands,27/7/2006,Protocol amending the European Convention on the Suppression of Terrorism,,15/7/2003,,X,,X,,,,,
Norway,24/9/2003 s,Protocol amending the European Convention on the Suppression of Terrorism,,24/9/2003 s,,,,,,,,,
Poland,10/11/2004,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,,,,,,,,,
Portugal,,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,13,,,,,,,,
Romania,29/11/2004,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,,,,,,,,,
Russia,4/10/2006,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,,,X,,,,,,
San Marino,,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,13,,,,,,,,
Serbia,14/4/2009,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,,,,,,,,,
Slovakia,7/12/2005,Protocol amending the European Convention on the Suppression of Terrorism,,7/4/2005,,,,,,,,,
Slovenia,11/5/2004,Protocol amending the European Convention on the Suppression of Terrorism,,15/7/2003,,,,,,,,,
Spain,,Protocol amending the European Convention on the Suppression of Terrorism,,9/10/2003,13,,X,,,,,,
Sweden,,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,13,,,,,,,,
Switzerland,7/9/2006,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,,,,,,,,,
Macedonia,14/11/2005,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,,,,,,,,,
Turkey,20/5/2005,Protocol amending the European Convention on the Suppression of Terrorism,,15/7/2003,,,,,,,,,
Ukraine,21/12/2006,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,,,X,,,,,,
United Kingdom,,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,13,,,,,,,,
Albania,15/11/2004,Additional Protocol to the Criminal Law Convention on Corruption,1/3/2005,15/5/2003,,,,,,,,,
Andorra,,Additional Protocol to the Criminal Law Convention on Corruption,,,,,,,,,,,
Armenia,9/1/2006,Additional Protocol to the Criminal Law Convention on Corruption,1/5/2006,15/5/2003,,,,,,,,,
Austria,,Additional Protocol to the Criminal Law Convention on Corruption,,,,,,,,,,,
Azerbaijan,,Additional Protocol to the Criminal Law Convention on Corruption,,,,,,,,,,,
Belgium,26/2/2009,Additional Protocol to the Criminal Law Convention on Corruption,1/6/2009,7/3/2005,,,,,,,,,
Bosnia and Herzegovina,7/9/2011,Additional Protocol to the Criminal Law Convention on Corruption,1/1/2012,7/9/2011,,,,,,,,,
Bulgaria,4/2/2004,Additional Protocol to the Criminal Law Convention on Corruption,1/2/2005,15/5/2003,,,,,,,,,
Croatia,10/5/2005,Additional Protocol to the Criminal Law Convention on Corruption,1/9/2005,17/9/2003,,,,,,,,,
Cyprus,21/11/2006,Additional Protocol to the Criminal Law Convention on Corruption,1/3/2007,15/5/2003,,,,,,,,,
Czech Republic,,Additional Protocol to the Criminal Law Convention on Corruption,,,,,,,,,,,
Denmark,16/11/2005,Additional Protocol to the Criminal Law Convention on Corruption,1/3/2006,15/5/2003,,X,,,,,,,
Estonia,,Additional Protocol to the Criminal Law Convention on Corruption,,,,,,,,,,,
Finland,24/6/2011,Additional Protocol to the Criminal Law Convention on Corruption,1/10/2011,4/5/2011,,,,,,,,,
France,25/4/2008,Additional Protocol to the Criminal Law Convention on Corruption,1/8/2008,15/5/2003,,,,,,,,,
Georgia,,Additional Protocol to the Criminal Law Convention on Corruption,,,,,,,,,,,
Germany,,Additional Protocol to the Criminal Law Convention on Corruption,,15/5/2003,,,,,,,,,
Greece,10/7/2007,Additional Protocol to the Criminal Law Convention on Corruption,1/11/2007,15/5/2003,,,,,,,,,
Hungary,,Additional Protocol to the Criminal Law Convention on Corruption,,15/5/2003,,,,,,,,,
Iceland,,Additional Protocol to the Criminal Law Convention on Corruption,,15/5/2003,,,,,,,,,
Ireland,11/7/2005,Additional Protocol to the Criminal Law Convention on Corruption,1/11/2005,15/5/2003,,,,,,,,,
Italy,,Additional Protocol to the Criminal Law Convention on Corruption,,15/5/2003,,,,,,,,,
Latvia,27/7/2006,Additional Protocol to the Criminal Law Convention on Corruption,1/11/2006,7/4/2005,,,,,,,,,
Liechtenstein,,Additional Protocol to the Criminal Law Convention on Corruption,,17/11/2009,,,,,,,,,
Lithuania,,Additional Protocol to the Criminal Law Convention on Corruption,,2/12/2010,,,,,,,,,
Luxembourg,13/7/2005,Additional Protocol to the Criminal Law Convention on Corruption,1/11/2005,11/6/2003,,,,,,,,,
Malta,,Additional Protocol to the Criminal Law Convention on Corruption,,15/5/2003,,,,,,,,,
Moldova,22/8/2007,Additional Protocol to the Criminal Law Convention on Corruption,1/12/2007,15/5/2003,,,,,,,,,
Monaco,,Additional Protocol to the Criminal Law Convention on Corruption,,,,,,,,,,,
Montenegro,17/3/2008,Additional Protocol to the Criminal Law Convention on Corruption,1/7/2008,20/2/2008,,,,,,,,,
Netherlands,16/11/2005,Additional Protocol to the Criminal Law Convention on Corruption,1/3/2006,26/2/2004,,X,,X,,,,,
Norway,2/3/2004,Additional Protocol to the Criminal Law Convention on Corruption,1/2/2005,2/3/2004,,,,,,,,,
Poland,,Additional Protocol to the Criminal Law Convention on Corruption,,7/10/2011,,,,,,,,,
Portugal,,Additional Protocol to the Criminal Law Convention on Corruption,,15/5/2003,,,,,,,,,
Romania,29/11/2004,Additional Protocol to the Criminal Law Convention on Corruption,1/3/2005,9/10/2003,,,,,,,,,
Russia,,Additional Protocol to the Criminal Law Convention on Corruption,,7/5/2009,,,,,,,,,
San Marino,,Additional Protocol to the Criminal Law Convention on Corruption,,15/5/2003,,,,,,,,,
Serbia,9/1/2008,Additional Protocol to the Criminal Law Convention on Corruption,1/5/2008,9/1/2008,,,,,,,,,
Slovakia,7/4/2005,Additional Protocol to the Criminal Law Convention on Corruption,1/8/2005,12/1/2005,,,,,,,,,
Slovenia,11/10/2004,Additional Protocol to the Criminal Law Convention on Corruption,1/2/2005,9/3/2004,,,,,,,,,
Spain,17/1/2011,Additional Protocol to the Criminal Law Convention on Corruption,1/5/2011,27/5/2009,,,X,,,,,,
Sweden,25/6/2004,Additional Protocol to the Criminal Law Convention on Corruption,1/2/2005,15/5/2003,,,X,,,,,,
Switzerland,31/3/2006,Additional Protocol to the Criminal Law Convention on Corruption,1/7/2006,3/6/2004,,,X,,,,,,
Macedonia,14/11/2005,Additional Protocol to the Criminal Law Convention on Corruption,1/3/2006,15/5/2003,,,,,,,,,
Turkey,,Additional Protocol to the Criminal Law Convention on Corruption,,,,,,,,,,,
Ukraine,27/11/2009,Additional Protocol to the Criminal Law Convention on Corruption,1/3/2010,15/5/2003,,,,,,,,,
United Kingdom,9/12/2003,Additional Protocol to the Criminal Law Convention on Corruption,1/2/2005,15/5/2003,,,,,,,,,
Belarus,,Additional Protocol to the Criminal Law Convention on Corruption,,,,,,,,,,,
Mexico,,Additional Protocol to the Criminal Law Convention on Corruption,,,,,,,,,,,
United States of America,,Additional Protocol to the Criminal Law Convention on Corruption,,,,,,,,,,,
Albania,27/5/2005,Convention on Contact concerning Children,1/9/2005,9/10/2003,,,X,,,X,,,
Andorra,,Convention on Contact concerning Children,,,,,,,,,,,
Armenia,,Convention on Contact concerning Children,,,,,,,,,,,
Austria,,Convention on Contact concerning Children,,15/5/2003,,,,,,,,,
Azerbaijan,,Convention on Contact concerning Children,,,,,,,,,,,
Belgium,,Convention on Contact concerning Children,,15/5/2003,,,,,,,,,
Bosnia and Herzegovina,,Convention on Contact concerning Children,,12/10/2011,,,,,,,,,
Bulgaria,,Convention on Contact concerning Children,,15/5/2003,,,,,,,,,
Croatia,5/2/2009,Convention on Contact concerning Children,1/6/2009,15/5/2003,,,,,,X,,,
Cyprus,,Convention on Contact concerning Children,,15/5/2003,,,,,,,,,
Czech Republic,27/9/2004,Convention on Contact concerning Children,1/9/2005,15/5/2003,,,,,,X,,,
Denmark,,Convention on Contact concerning Children,,,,,,,,,,,
Estonia,,Convention on Contact concerning Children,,,,,,,,,,,
Finland,,Convention on Contact concerning Children,,,,,,,,,,,
France,,Convention on Contact concerning Children,,,,,,,,,,,
Georgia,,Convention on Contact concerning Children,,,,,,,,,,,
Germany,,Convention on Contact concerning Children,,,,,,,,,,,
Greece,,Convention on Contact concerning Children,,9/10/2003,,,,,,,,,
Hungary,,Convention on Contact concerning Children,,,,,,,,,,,
Iceland,,Convention on Contact concerning Children,,,,,,,,,,,
Ireland,,Convention on Contact concerning Children,,,,,,,,,,,
Italy,,Convention on Contact concerning Children,,15/5/2003,,,,,,,,,
Latvia,,Convention on Contact concerning Children,,,,,,,,,,,
Liechtenstein,,Convention on Contact concerning Children,,,,,,,,,,,
Lithuania,,Convention on Contact concerning Children,,,,,,,,,,,
Luxembourg,,Convention on Contact concerning Children,,,,,,,,,,,
Malta,,Convention on Contact concerning Children,,15/5/2003,,,,,,,,,
Moldova,,Convention on Contact concerning Children,,15/5/2003,,,,,,,,,
Monaco,,Convention on Contact concerning Children,,,,,,,,,,,
Montenegro,,Convention on Contact concerning Children,,,,,,,,,,,
Netherlands,,Convention on Contact concerning Children,,,,,,,,,,,
Norway,,Convention on Contact concerning Children,,,,,,,,,,,
Poland,,Convention on Contact concerning Children,,24/9/2003,,,,,,,,,
Portugal,,Convention on Contact concerning Children,,15/5/2003,,,X,,,,,,
Romania,16/7/2007,Convention on Contact concerning Children,1/11/2007,17/7/2006,,,,,,X,,,
Russia,,Convention on Contact concerning Children,,,,,,,,,,,
San Marino,13/9/2004,Convention on Contact concerning Children,1/9/2005,15/5/2003,,,,,,,,,
Serbia,,Convention on Contact concerning Children,,,,,,,,,,,
Slovakia,,Convention on Contact concerning Children,,,,,,,,,,,
Slovenia,,Convention on Contact concerning Children,,,,,,,,,,,
Spain,,Convention on Contact concerning Children,,,,,,,,,,,
Sweden,,Convention on Contact concerning Children,,,,,,,,,,,
Switzerland,,Convention on Contact concerning Children,,,,,,,,,,,
Macedonia,,Convention on Contact concerning Children,,,,,,,,,,,
Turkey,23/1/2012,Convention on Contact concerning Children,1/5/2012,15/7/2003,,,,,,X,,,
Ukraine,21/12/2006,Convention on Contact concerning Children,1/4/2007,15/5/2003,,,,,,X,,,
United Kingdom,,Convention on Contact concerning Children,,,,,,,,,,,
"Vatican City",,Convention on Contact concerning Children,,,,,,,,,,,
European Union,,Convention on Contact concerning Children,,,,,,,,,,,
Albania,,European Convention for the Protection of Animals during International Transport (Revised),,,,,,,,,,,
Andorra,,European Convention for the Protection of Animals during International Transport (Revised),,,,,,,,,,,
Armenia,,European Convention for the Protection of Animals during International Transport (Revised),,,,,,,,,,,
Austria,,European Convention for the Protection of Animals during International Transport (Revised),,,,,,,,,,,
Azerbaijan,,European Convention for the Protection of Animals during International Transport (Revised),,,,,,,,,,,
Belgium,,European Convention for the Protection of Animals during International Transport (Revised),,6/11/2003,,,,,,,,,
Bosnia and Herzegovina,,European Convention for the Protection of Animals during International Transport (Revised),,,,,,,,,,,
Bulgaria,2/2/2006,European Convention for the Protection of Animals during International Transport (Revised),3/8/2006,23/3/2005,,,,,,,,,
Croatia,,European Convention for the Protection of Animals during International Transport (Revised),,6/11/2003,,,,,,,,,
Cyprus,10/5/2010,European Convention for the Protection of Animals during International Transport (Revised),11/11/2010,20/12/2007,,,,,,,,,
Czech Republic,,European Convention for the Protection of Animals during International Transport (Revised),,,,,,,,,,,
Denmark,,European Convention for the Protection of Animals during International Transport (Revised),,,,,,,,,,,
Estonia,16/5/2008,European Convention for the Protection of Animals during International Transport (Revised),17/11/2008,1/4/2008,,,,,,,,,
